0	2.059	360.594
0.75	2.066	363.538
1.5	1.993	370.459
2.25	2.029	390.094
3	1.957	415.645
3.75	2.041	440.91
4.5	1.913	465.894
5.25	1.984	490.2
6	1.957	515.098
6.75	1.929	540.639
7.5	1.991	566.627
8.25	1.879	592.623
9	1.896	617.785
9.75	1.942	641.063
10.5	1.937	661.696
11.25	1.881	680.086
12	1.862	697.334
12.75	1.931	713.919
13.5	1.878	730.032
14.25	1.752	745.713
15	1.845	761.55
