0.000	0.569
0.150	0.592
0.300	0.594
0.450	0.593
0.600	0.593
0.750	0.592
0.900	0.593
1.050	0.596
1.200	0.588
1.350	0.587
1.500	0.592
1.650	0.588
1.800	0.590
1.950	0.585
2.100	0.590
2.250	0.606
2.400	0.618
2.550	0.621
2.700	0.613
2.850	0.600
3.000	0.590
3.150	0.587
3.300	0.579
3.450	0.584
3.600	0.594
3.750	0.589
3.900	0.582
4.050	0.574
4.200	0.578
4.350	0.601
4.500	0.650
4.650	0.703
4.800	0.743
4.950	0.749
5.100	0.753
5.250	0.731
5.400	0.696
5.550	0.644
5.700	0.591
5.850	0.571
6.000	0.572
6.150	0.571
6.300	0.574
6.450	0.577
6.600	0.590
6.750	0.592
6.900	0.582
7.050	0.572
7.200	0.572
7.350	0.583
7.500	0.596
7.650	0.596
7.800	0.589
7.950	0.578
8.100	0.571
8.250	0.587
8.400	0.594
8.550	0.596
8.700	0.579
8.850	0.571
9.000	0.574
9.150	0.581
9.300	0.584
9.450	0.582
9.600	0.576
9.750	0.576
9.900	0.582
10.050	0.587
10.200	0.587
10.350	0.583
10.500	0.572
10.650	0.572
10.800	0.571
10.950	0.569
11.100	0.577
11.250	0.587
11.400	0.595
11.550	0.592
11.700	0.594
11.850	0.589
12.000	0.590
12.150	0.580
12.300	0.576
12.450	0.576
12.600	0.578
12.750	0.582
12.900	0.586
13.050	0.597
13.200	0.608
13.350	0.612
13.500	0.618
13.650	0.623
13.800	0.623
13.950	0.628
14.100	0.626
14.250	0.629
14.400	0.624
14.550	0.641
14.700	0.683
14.850	0.709
15.000	0.698
15.000	0.687
